#isolate	predicted_serotype	attributes	genes_identified	locus_location	region_I_genes	region_II_genes	region_III_genes	IS1016_hits
ERX101279	type_b	full_gene_complement,fragmented_locus	bexB,bexC,bexD,bcs1,bcs2,bcs3,bcs4,hcsA,hcsB;bexA	gnl|contig00023|ERX101279 len=17356 cov=143.1 corr=0 origname=Contig_53_143.121_pilon sw=shovill-skesa/1.1.0 date=20201227:85-15151;gnl|contig00047|ERX101279 len=724 cov=77.6 corr=0 origname=Contig_5_77.5582_pilon sw=shovill-skesa/1.1.0 date=20201227:181-723	4/4	4/4	2/2	2
ERX101280	cap_not_found	-	-	-	-	-	-	-
ERX101281	cap_not_found	-	-	-	-	-	-	-
ERX101283	cap_not_found	-	-	-	-	-	-	-
ERX101284	type_b	full_gene_complement,truncated_genes,fragmented_locus	hcsB*,hcsA,bcs4,bcs3,bcs2,bcs1,bexD,bexC,bexB;bexA;hcsB*	gnl|contig00015|ERX101284 len=43623 cov=72.4 corr=0 origname=Contig_18_72.4412_pilon sw=shovill-skesa/1.1.0 date=20201225:2-14097;gnl|contig00045|ERX101284 len=688 cov=15.5 corr=0 origname=Contig_13_15.4835_pilon sw=shovill-skesa/1.1.0 date=20201225:2-544;gnl|contig00001|ERX101284 len=270920 cov=73.2 corr=0 origname=Contig_8_73.1801_pilon sw=shovill-skesa/1.1.0 date=20201225:2-910	4/4	4/4	2/2	2
ERX101285	type_b	full_gene_complement,truncated_genes	bexA*,bexB,bexC,bexD,bcs1*,bcs1*,bcs2,bcs3,bcs4,hcsA,hcsB	gnl|contig00001|ERX101285 len=314598 cov=60.2 corr=0 origname=Contig_49_60.1714_pilon sw=shovill-skesa/1.1.0 date=20201224:29414-44566	4/4	4/4	2/2	2
ERX101286	cap_not_found	-	-	-	-	-	-	-
ERX101288	type_b	full_gene_complement,truncated_genes	bexA*,bexB,bexC,bexD,bcs1*,bcs1*,bcs2,bcs3,bcs4,hcsA,hcsB	gnl|contig00001|ERX101288 len=346586 cov=76.7 corr=0 origname=Contig_34_76.7041_pilon sw=shovill-skesa/1.1.0 date=20210103:32038-47214	4/4	4/4	2/2	1
ERX101290	cap_not_found	-	-	-	-	-	-	-
ERX101291	cap_not_found	-	-	-	-	-	-	-
ERX101292	type_b	full_gene_complement,truncated_genes	bexA*,bexB,bexC,bexD,bcs1*,bcs1*,bcs2,bcs3,bcs4,hcsA,hcsB	gnl|contig00001|ERX101292 len=567002 cov=70.7 corr=0 origname=Contig_21_70.6997_pilon sw=shovill-skesa/1.1.0 date=20201227:283202-298357	4/4	4/4	2/2	2
ERX2260689	cap_not_found	-	-	-	-	-	-	-
ERX2260690	cap_not_found	-	-	-	-	-	-	-
ERX2260691	cap_not_found	-	-	-	-	-	-	-
ERX2260692	cap_not_found	-	-	-	-	-	-	-
ERX2260693	cap_not_found	-	-	-	-	-	-	-
ERX2260694	cap_not_found	-	-	-	-	-	-	-
ERX2260695	cap_not_found	-	-	-	-	-	-	-
ERX2260696	cap_not_found	-	-	-	-	-	-	-
ERX2260697	cap_not_found	-	-	-	-	-	-	-
ERX2260698	cap_not_found	-	-	-	-	-	-	-
ERX2260699	cap_not_found	-	-	-	-	-	-	-
ERX2260700	cap_not_found	-	-	-	-	-	-	-
ERX2260701	cap_not_found	-	-	-	-	-	-	-
ERX2260702	cap_not_found	-	-	-	-	-	-	-
ERX2260703	cap_not_found	-	-	-	-	-	-	-
ERX2260704	cap_not_found	-	-	-	-	-	-	-
ERX2260705	cap_not_found	-	-	-	-	-	-	-
ERX2260706	cap_not_found	-	-	-	-	-	-	-
ERX2260707	cap_not_found	-	-	-	-	-	-	-
ERX2260708	cap_not_found	-	-	-	-	-	-	-
ERX2260709	cap_not_found	-	-	-	-	-	-	-
ERX2260710	cap_not_found	-	-	-	-	-	-	-
ERX2260711	cap_not_found	-	-	-	-	-	-	-
ERX2260712	cap_not_found	-	-	-	-	-	-	-
ERX2260713	cap_not_found	-	-	-	-	-	-	-
ERX2260715	cap_not_found	-	-	-	-	-	-	-
ERX2260716	cap_not_found	-	-	-	-	-	-	-
ERX2260717	cap_not_found	-	-	-	-	-	-	-
ERX2260718	cap_not_found	-	-	-	-	-	-	-
ERX2260719	cap_not_found	-	-	-	-	-	-	-
ERX2260720	cap_not_found	-	-	-	-	-	-	-
ERX2260721	cap_not_found	-	-	-	-	-	-	-
ERX2260722	cap_not_found	-	-	-	-	-	-	-
ERX2260724	cap_not_found	-	-	-	-	-	-	-
ERX2260725	cap_not_found	-	-	-	-	-	-	-
ERX2260727	cap_not_found	-	-	-	-	-	-	-
ERX2260728	cap_not_found	-	-	-	-	-	-	-
ERX2260729	cap_not_found	-	-	-	-	-	-	-
ERX2260730	cap_not_found	-	-	-	-	-	-	-
ERX2260731	cap_not_found	-	-	-	-	-	-	-
ERX2260732	cap_not_found	-	-	-	-	-	-	-
ERX2260734	cap_not_found	-	-	-	-	-	-	-
ERX2260735	type_e	full_gene_complement	hcsB,hcsA,ecs8,ecs7,ecs6,ecs5,ecs4,ecs3,ecs2,ecs1,bexD,bexC,bexB,bexA	gnl|contig00001|ERX2260735 len=285587 cov=72.0 corr=0 origname=Contig_6_71.9638_pilon sw=shovill-skesa/1.1.0 date=20201225:26084-44148	4/4	8/8	2/2	0
ERX2260736	cap_not_found	-	-	-	-	-	-	-
ERX2260737	cap_not_found	-	-	-	-	-	-	-
ERX2260738	cap_not_found	-	-	-	-	-	-	-
ERX2260739	cap_not_found	-	-	-	-	-	-	-
ERX2260740	cap_not_found	-	-	-	-	-	-	-
ERX2260741	cap_not_found	-	-	-	-	-	-	-
ERX2260742	cap_not_found	-	-	-	-	-	-	-
ERX2260743	cap_not_found	-	-	-	-	-	-	-
ERX2260745	cap_not_found	-	-	-	-	-	-	-
ERX2260746	cap_not_found	-	-	-	-	-	-	-
ERX2260747	cap_not_found	-	-	-	-	-	-	-
ERX2260749	cap_not_found	-	-	-	-	-	-	-
ERX2260750	cap_not_found	-	-	-	-	-	-	-
ERX2260751	cap_not_found	-	-	-	-	-	-	-
ERX2260752	cap_not_found	-	-	-	-	-	-	-
ERX2260753	cap_not_found	-	-	-	-	-	-	-
ERX2260754	cap_not_found	-	-	-	-	-	-	-
ERX2260755	cap_not_found	-	-	-	-	-	-	-
ERX2260756	cap_not_found	-	-	-	-	-	-	-
ERX2260757	cap_not_found	-	-	-	-	-	-	-
ERX2260758	cap_not_found	-	-	-	-	-	-	-
ERX2260759	cap_not_found	-	-	-	-	-	-	-
ERX2260760	cap_not_found	-	-	-	-	-	-	-
ERX2260761	cap_not_found	-	-	-	-	-	-	-
ERX2260762	cap_not_found	-	-	-	-	-	-	-
ERX2260763	cap_not_found	-	-	-	-	-	-	-
ERX2260764	type_e	full_gene_complement	bexA,bexB,bexC,bexD,ecs1,ecs2,ecs3,ecs4,ecs5,ecs6,ecs7,ecs8,hcsA,hcsB	gnl|contig00016|ERX2260764 len=54398 cov=74.5 corr=0 origname=Contig_26_74.4745_pilon sw=shovill-skesa/1.1.0 date=20201228:10281-28336	4/4	8/8	2/2	0
ERX2260765	cap_not_found	-	-	-	-	-	-	-
ERX2260766	cap_not_found	-	-	-	-	-	-	-
ERX2260767	cap_not_found	-	-	-	-	-	-	-
ERX2260768	cap_not_found	-	-	-	-	-	-	-
ERX2260769	cap_not_found	-	-	-	-	-	-	-
ERX2260770	cap_not_found	-	-	-	-	-	-	-
ERX2260771	cap_not_found	-	-	-	-	-	-	-
ERX2260772	cap_not_found	-	-	-	-	-	-	-
ERX2260773	cap_not_found	-	-	-	-	-	-	-
ERX2260774	cap_not_found	-	-	-	-	-	-	-
ERX2260775	cap_not_found	-	-	-	-	-	-	-
ERX2260776	cap_not_found	-	-	-	-	-	-	-
ERX2260777	cap_not_found	-	-	-	-	-	-	-
ERX2260778	cap_not_found	-	-	-	-	-	-	-
ERX2260779	cap_not_found	-	-	-	-	-	-	-
ERX2260780	cap_not_found	-	-	-	-	-	-	-
ERX2260781	cap_not_found	-	-	-	-	-	-	-
ERX2260782	cap_not_found	-	-	-	-	-	-	-
ERX2260783	cap_not_found	-	-	-	-	-	-	-
ERX2260784	cap_not_found	-	-	-	-	-	-	-
ERX2260785	cap_not_found	-	-	-	-	-	-	-
ERX2260786	cap_not_found	-	-	-	-	-	-	-
ERX2260787	cap_not_found	-	-	-	-	-	-	-
ERX2260788	cap_not_found	-	-	-	-	-	-	-
ERX2260789	cap_not_found	-	-	-	-	-	-	-
ERX2260790	cap_not_found	-	-	-	-	-	-	-
ERX2260791	cap_not_found	-	-	-	-	-	-	-
ERX2260792	cap_not_found	-	-	-	-	-	-	-
ERX2260793	cap_not_found	-	-	-	-	-	-	-
ERX2260794	cap_not_found	-	-	-	-	-	-	-
ERX2260795	cap_not_found	-	-	-	-	-	-	-
ERX2260796	cap_not_found	-	-	-	-	-	-	-
ERX2260797	cap_not_found	-	-	-	-	-	-	-
ERX2260798	cap_not_found	-	-	-	-	-	-	-
ERX2260799	cap_not_found	-	-	-	-	-	-	-
ERX2260800	cap_not_found	-	-	-	-	-	-	-
ERX2260801	cap_not_found	-	-	-	-	-	-	-
ERX2260802	cap_not_found	-	-	-	-	-	-	-
ERX2260803	cap_not_found	-	-	-	-	-	-	-
ERX2260804	cap_not_found	-	-	-	-	-	-	-
ERX2260805	type_f	full_gene_complement	hcsB,hcsA,fcs3,fcs2,fcs1,bexD,bexC,bexB,bexA	gnl|contig00001|ERX2260805 len=635589 cov=71.6 corr=0 origname=Contig_7_71.6252_pilon sw=shovill-skesa/1.1.0 date=20201226:331039-343464	4/4	3/3	2/2	0
ERX2260806	cap_not_found	-	-	-	-	-	-	-
ERX2260807	cap_not_found	-	-	-	-	-	-	-
ERX2260808	cap_not_found	-	-	-	-	-	-	-
ERX2260809	cap_not_found	-	-	-	-	-	-	-
ERX2260810	cap_not_found	-	-	-	-	-	-	-
ERX2260811	cap_not_found	-	-	-	-	-	-	-
ERX2260812	type_e	full_gene_complement	hcsB,hcsA,ecs8,ecs7,ecs6,ecs5,ecs4,ecs3,ecs2,ecs1,bexD,bexC,bexB,bexA	gnl|contig00001|ERX2260812 len=285634 cov=66.0 corr=0 origname=Contig_7_65.976_pilon sw=shovill-skesa/1.1.0 date=20210104:26042-44106	4/4	8/8	2/2	0
ERX2260813	cap_not_found	-	-	-	-	-	-	-
ERX2260814	cap_not_found	-	-	-	-	-	-	-
ERX2260815	cap_not_found	-	-	-	-	-	-	-
ERX2260816	cap_not_found	-	-	-	-	-	-	-
ERX2260817	cap_not_found	-	-	-	-	-	-	-
ERX2260818	cap_not_found	-	-	-	-	-	-	-
ERX2260819	cap_not_found	-	-	-	-	-	-	-
ERX2260820	cap_not_found	-	-	-	-	-	-	-
ERX2260821	cap_not_found	-	-	-	-	-	-	-
ERX2260822	cap_not_found	-	-	-	-	-	-	-
ERX2260823	cap_not_found	-	-	-	-	-	-	-
ERX2260824	cap_not_found	-	-	-	-	-	-	-
ERX2260825	cap_not_found	-	-	-	-	-	-	-
ERX2260826	cap_not_found	-	-	-	-	-	-	-
ERX2260827	cap_not_found	-	-	-	-	-	-	-
ERX2260830	cap_not_found	-	-	-	-	-	-	-
ERX2260832	cap_not_found	-	-	-	-	-	-	-
ERX2260833	cap_not_found	-	-	-	-	-	-	-
ERX2260834	cap_not_found	-	-	-	-	-	-	-
ERX2260835	cap_not_found	-	-	-	-	-	-	-
ERX2260837	cap_not_found	-	-	-	-	-	-	-
ERX2260838	cap_not_found	-	-	-	-	-	-	-
ERX2260839	cap_not_found	-	-	-	-	-	-	-
ERX2260840	cap_not_found	-	-	-	-	-	-	-
ERX2260841	cap_not_found	-	-	-	-	-	-	-
ERX2260842	cap_not_found	-	-	-	-	-	-	-
ERX2260843	cap_not_found	-	-	-	-	-	-	-
ERX2260844	cap_not_found	-	-	-	-	-	-	-
ERX2260845	cap_not_found	-	-	-	-	-	-	-
ERX2260846	cap_not_found	-	-	-	-	-	-	-
ERX2260847	cap_not_found	-	-	-	-	-	-	-
ERX2260848	cap_not_found	-	-	-	-	-	-	-
ERX2260849	cap_not_found	-	-	-	-	-	-	-
ERX2260851	cap_not_found	-	-	-	-	-	-	-
ERX2260852	cap_not_found	-	-	-	-	-	-	-
ERX2260853	cap_not_found	-	-	-	-	-	-	-
ERX2260854	cap_not_found	-	-	-	-	-	-	-
ERX2260855	cap_not_found	-	-	-	-	-	-	-
ERX2260856	cap_not_found	-	-	-	-	-	-	-
ERX2260857	cap_not_found	-	-	-	-	-	-	-
ERX2260858	cap_not_found	-	-	-	-	-	-	-
ERX2260859	cap_not_found	-	-	-	-	-	-	-
ERX2260860	cap_not_found	-	-	-	-	-	-	-
ERX2260861	cap_not_found	-	-	-	-	-	-	-
ERX2260862	cap_not_found	-	-	-	-	-	-	-
ERX2260863	cap_not_found	-	-	-	-	-	-	-
ERX2260864	cap_not_found	-	-	-	-	-	-	-
ERX2260865	cap_not_found	-	-	-	-	-	-	-
ERX2260866	cap_not_found	-	-	-	-	-	-	-
ERX2260867	cap_not_found	-	-	-	-	-	-	-
ERX2260868	cap_not_found	-	-	-	-	-	-	-
ERX2260869	cap_not_found	-	-	-	-	-	-	-
ERX2260870	cap_not_found	-	-	-	-	-	-	-
ERX2260871	cap_not_found	-	-	-	-	-	-	-
ERX2260872	cap_not_found	-	-	-	-	-	-	-
ERX2260873	cap_not_found	-	-	-	-	-	-	-
ERX2260874	cap_not_found	-	-	-	-	-	-	-
ERX2260875	cap_not_found	-	-	-	-	-	-	-
ERX2260877	cap_not_found	-	-	-	-	-	-	-
ERX2260878	cap_not_found	-	-	-	-	-	-	-
ERX2260879	cap_not_found	-	-	-	-	-	-	-
ERX2260880	cap_not_found	-	-	-	-	-	-	-
ERX2260881	cap_not_found	-	-	-	-	-	-	-
ERX2260882	cap_not_found	-	-	-	-	-	-	-
ERX2260883	cap_not_found	-	-	-	-	-	-	-
ERX2260884	cap_not_found	-	-	-	-	-	-	-
ERX2260885	cap_not_found	-	-	-	-	-	-	-
ERX2260886	cap_not_found	-	-	-	-	-	-	-
ERX2260887	cap_not_found	-	-	-	-	-	-	-
ERX2260888	cap_not_found	-	-	-	-	-	-	-
ERX2260889	cap_not_found	-	-	-	-	-	-	-
ERX2260890	cap_not_found	-	-	-	-	-	-	-
ERX2260891	cap_not_found	-	-	-	-	-	-	-
ERX2260892	cap_not_found	-	-	-	-	-	-	-
ERX2260893	cap_not_found	-	-	-	-	-	-	-
ERX2260894	cap_not_found	-	-	-	-	-	-	-
ERX2260895	cap_not_found	-	-	-	-	-	-	-
ERX2260896	cap_not_found	-	-	-	-	-	-	-
ERX2260897	cap_not_found	-	-	-	-	-	-	-
ERX2260898	cap_not_found	-	-	-	-	-	-	-
ERX2260899	cap_not_found	-	-	-	-	-	-	-
ERX2260900	cap_not_found	-	-	-	-	-	-	-
ERX2260901	cap_not_found	-	-	-	-	-	-	-
ERX2260902	cap_not_found	-	-	-	-	-	-	-
ERX2260903	cap_not_found	-	-	-	-	-	-	-
ERX2260904	cap_not_found	-	-	-	-	-	-	-
ERX2260905	cap_not_found	-	-	-	-	-	-	-
ERX2260906	cap_not_found	-	-	-	-	-	-	-
ERX2260907	cap_not_found	-	-	-	-	-	-	-
ERX2260908	cap_not_found	-	-	-	-	-	-	-
ERX2260909	cap_not_found	-	-	-	-	-	-	-
ERX2260910	cap_not_found	-	-	-	-	-	-	-
ERX2260911	cap_not_found	-	-	-	-	-	-	-
ERX2260912	cap_not_found	-	-	-	-	-	-	-
ERX2260913	cap_not_found	-	-	-	-	-	-	-
ERX2260914	cap_not_found	-	-	-	-	-	-	-
ERX2260915	cap_not_found	-	-	-	-	-	-	-
ERX2260916	cap_not_found	-	-	-	-	-	-	-
ERX2260917	cap_not_found	-	-	-	-	-	-	-
ERX2260918	cap_not_found	-	-	-	-	-	-	-
ERX2260919	cap_not_found	-	-	-	-	-	-	-
ERX2260920	cap_not_found	-	-	-	-	-	-	-
ERX2260921	cap_not_found	-	-	-	-	-	-	-
ERX2260922	cap_not_found	-	-	-	-	-	-	-
ERX2260923	cap_not_found	-	-	-	-	-	-	-
ERX2260924	cap_not_found	-	-	-	-	-	-	-
ERX2260925	cap_not_found	-	-	-	-	-	-	-
ERX2260927	cap_not_found	-	-	-	-	-	-	-
ERX2260928	cap_not_found	-	-	-	-	-	-	-
ERX2260929	cap_not_found	-	-	-	-	-	-	-
ERX2260930	cap_not_found	-	-	-	-	-	-	-
ERX2260931	cap_not_found	-	-	-	-	-	-	-
ERX2260932	cap_not_found	-	-	-	-	-	-	-
ERX2260933	cap_not_found	-	-	-	-	-	-	-
ERX2260934	cap_not_found	-	-	-	-	-	-	-
ERX2260935	cap_not_found	-	-	-	-	-	-	-
ERX2260936	cap_not_found	-	-	-	-	-	-	-
ERX2260937	cap_not_found	-	-	-	-	-	-	-
ERX2260938	cap_not_found	-	-	-	-	-	-	-
ERX2260939	cap_not_found	-	-	-	-	-	-	-
ERX2260940	cap_not_found	-	-	-	-	-	-	-
ERX2260941	cap_not_found	-	-	-	-	-	-	-
ERX2260942	cap_not_found	-	-	-	-	-	-	-
ERX2260943	cap_not_found	-	-	-	-	-	-	-
ERX2260944	cap_not_found	-	-	-	-	-	-	-
ERX2260945	cap_not_found	-	-	-	-	-	-	-
ERX2260946	cap_not_found	-	-	-	-	-	-	-
ERX2260948	cap_not_found	-	-	-	-	-	-	-
ERX2260949	cap_not_found	-	-	-	-	-	-	-
ERX2260950	cap_not_found	-	-	-	-	-	-	-
ERX2260951	cap_not_found	-	-	-	-	-	-	-
ERX2260952	cap_not_found	-	-	-	-	-	-	-
ERX2260953	cap_not_found	-	-	-	-	-	-	-
ERX2579040	cap_not_found	-	-	-	-	-	-	-
ERX2579041	type_b	full_gene_complement	bexB,bexC,bexD,bcs1,bcs2,bcs3,bcs4,hcsA,hcsB,bexA	gnl|contig00019|ERX2579041 len=18102 cov=72.0 corr=0 origname=Contig_35_71.9639_pilon sw=shovill-skesa/1.1.0 date=20210103:85-18101	4/4	4/4	2/2	2
ERX2579042	cap_not_found	-	-	-	-	-	-	-
ERX2579043	type_b	full_gene_complement,truncated_genes	hcsB*,bexA,bexB,bexC,bexD,bcs1,bcs2,bcs3,bcs4,hcsA,hcsB*	gnl|contig00019|ERX2579043 len=18124 cov=85.2 corr=0 origname=Contig_1_85.2116_Circ_pilon sw=shovill-skesa/1.1.0 date=20201227:2-18122	4/4	4/4	2/2	2
ERX2579044	type_b	full_gene_complement	bexB,bexC,bexD,bcs1,bcs2,bcs3,bcs4,hcsA,hcsB,bexA	gnl|contig00020|ERX2579044 len=18076 cov=49.5 corr=0 origname=Contig_24_49.4929_pilon sw=shovill-skesa/1.1.0 date=20201223:85-18075	4/4	4/4	2/2	2
ERX2579045	type_b	full_gene_complement,fragmented_locus	bexB,bexC,bexD,bcs1,bcs2,bcs3,bcs4,hcsA,hcsB;bexA	gnl|contig00024|ERX2579045 len=17356 cov=54.7 corr=0 origname=Contig_55_54.742_pilon sw=shovill-skesa/1.1.0 date=20210103:85-15151;gnl|contig00046|ERX2579045 len=724 cov=28.4 corr=0 origname=Contig_13_28.4062_pilon sw=shovill-skesa/1.1.0 date=20210103:181-723	4/4	4/4	2/2	2
ERX2579046	type_b	full_gene_complement	bexA,bexB,bexC,bexD,bcs1,bcs2,bcs3,bcs4,hcsA,hcsB	gnl|contig00022|ERX2579046 len=18102 cov=89.8 corr=0 origname=Contig_8_89.8096_pilon sw=shovill-skesa/1.1.0 date=20201226:181-15897	4/4	4/4	2/2	2
ERX2579047	type_b	full_gene_complement,fragmented_locus	bexB,bexC,bexD,bcs1,bcs2,bcs3,bcs4,hcsA,hcsB;bexA	gnl|contig00019|ERX2579047 len=17356 cov=112.8 corr=0 origname=Contig_35_112.784_pilon sw=shovill-skesa/1.1.0 date=20201224:85-15151;gnl|contig00035|ERX2579047 len=724 cov=54.4 corr=0 origname=Contig_9_54.4048_pilon sw=shovill-skesa/1.1.0 date=20201224:181-723	4/4	4/4	2/2	2
ERX2579049	cap_not_found	-	-	-	-	-	-	-
ERX2579050	cap_not_found	-	-	-	-	-	-	-
ERX2579052	cap_not_found	-	-	-	-	-	-	-
ERX2579053	cap_not_found	-	-	-	-	-	-	-
ERX2579055	cap_not_found	-	-	-	-	-	-	-
