task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem
221	74/81497f	527283	qc_original_summary	GA54569	qc_original_summary (GA54569)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:03:31.607	2020-12-21 17:04:36.592	1m 20s	1m 2s	general	193.1%	0.5%	619.8 MB	3.4 GB
211	7f/a26881	527272	qc_original_summary	GA52964	qc_original_summary (GA52964)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:02:56.588	2020-12-21 17:04:41.731	1m 49s	1m 33s	general	188.1%	0.5%	621.7 MB	3.7 GB
225	07/c81290	527287	qc_original_summary	GA56214	qc_original_summary (GA56214)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:03:46.642	2020-12-21 17:04:46.585	1m 30s	57.8s	general	185.0%	0.5%	613.5 MB	3.5 GB
228	e7/0b62a8	527291	estimate_genome_size	GA56663	estimate_genome_size (GA56663)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:04:36.599	2020-12-21 17:04:46.591	1m 19s	533ms	general	13.7%	0.0%	3 MB	5.4 MB
223	36/4b702f	527285	qc_original_summary	GA54617	qc_original_summary (GA54617)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:03:41.603	2020-12-21 17:04:51.585	1m 35s	1m 5s	general	179.9%	0.5%	618.1 MB	3.6 GB
227	5e/1e0fca	527290	qc_original_summary	GA56108	qc_original_summary (GA56108)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:03:46.649	2020-12-21 17:04:51.592	1m 29s	59.8s	general	168.4%	0.5%	601 MB	3.6 GB
214	c7/35ca3f	527275	qc_reads	GA56273	qc_reads (GA56273)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:03:11.584	2020-12-21 17:05:01.586	2m 9s	1m 36s	general	357.3%	1.1%	1.4 GB	21 GB
20	87/e00be0	527292	gather_fastqs	GA58303	gather_fastqs (GA58303)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:04:46.598	2020-12-21 17:05:01.628	1m 30s	85ms	general	53.0%	0.0%	3.4 MB	5.5 MB
21	f4/66e67d	527296	gather_fastqs	GA58329	gather_fastqs (GA58329)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:05:01.641	2020-12-21 17:05:11.589	1m 25s	45ms	general	68.9%	0.0%	0	0
22	9d/6ba43e	527297	gather_fastqs	GA58625	gather_fastqs (GA58625)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:05:01.643	2020-12-21 17:05:16.588	1m 30s	44ms	general	96.0%	0.0%	0	0
231	35/c6f291	527294	qc_original_summary	GA56558	qc_original_summary (GA56558)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:04:46.602	2020-12-21 17:05:31.588	2m	41.8s	general	174.7%	0.5%	590.2 MB	3.7 GB
229	d2/b7dae8	527293	fastq_status	-	fastq_status (16)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:04:46.600	2020-12-21 17:05:41.603	2m 10s	44.4s	general	106.2%	0.5%	596.7 MB	33 GB
232	46/7d8f9d	527298	fastq_status	-	fastq_status (17)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:05:01.645	2020-12-21 17:05:41.611	1m 55s	27.2s	general	134.9%	0.5%	598.3 MB	32.9 GB
238	3e/18c22c	527304	estimate_genome_size	GA56793	estimate_genome_size (GA56793)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:05:36.592	2020-12-21 17:05:51.590	1m 19s	122ms	general	41.8%	0.0%	0	0
210	61/5b533b	527271	qc_reads	GA54827	qc_reads (GA54827)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:02:51.615	2020-12-21 17:06:06.591	3m 20s	3m 2s	general	350.1%	1.5%	1.6 GB	20.9 GB
235	e3/5912ac	527300	qc_original_summary	GA56638	qc_original_summary (GA56638)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:05:11.600	2020-12-21 17:06:16.593	2m 30s	50.5s	general	191.6%	0.5%	598.9 MB	3.7 GB
239	a8/381cb5	527305	estimate_genome_size	GA56932	estimate_genome_size (GA56932)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:06:06.621	2020-12-21 17:06:16.599	1m 39s	56ms	general	76.4%	0.0%	0	0
204	4d/4fbbf0	527267	qc_reads	GA52847	qc_reads (GA52847)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:02:36.586	2020-12-21 17:06:21.593	3m 54s	3m 31s	general	332.2%	3.5%	3.8 GB	20.9 GB
233	4b/83d5ec	527299	fastq_status	-	fastq_status (18)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:05:11.598	2020-12-21 17:06:36.593	2m 50s	1m 12s	general	113.5%	0.5%	623.9 MB	35.4 GB
237	d5/6eb8dc	527302	qc_original_summary	GA56646	qc_original_summary (GA56646)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:05:36.590	2020-12-21 17:06:46.593	3m	57.1s	general	191.8%	0.5%	618 MB	3.4 GB
240	36/6d9e0b	527306	qc_original_summary	GA56663	qc_original_summary (GA56663)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:06:06.623	2020-12-21 17:06:46.599	1m 59s	33s	general	190.6%	0.5%	599.2 MB	3.7 GB
23	51/1846f9	527308	gather_fastqs	GA58694	gather_fastqs (GA58694)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:06:36.602	2020-12-21 17:06:46.606	1m 45s	46ms	general	94.4%	0.0%	0	0
207	17/710ee4	527266	qc_reads	GA54125	qc_reads (GA54125)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:02:36.584	2020-12-21 17:06:51.594	4m 24s	3m 59s	general	325.2%	3.0%	3.3 GB	20.9 GB
226	41/9a926b	527289	qc_reads	GA56108	qc_reads (GA56108)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:03:46.647	2020-12-21 17:07:01.594	3m 39s	3m 8s	general	356.6%	2.0%	2.5 GB	21.1 GB
245	e8/24add0	527310	qc_final_summary	GA56273	qc_final_summary (GA56273)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	2	4h	-	1 GB	1	2020-12-21 17:06:46.615	2020-12-21 17:07:16.596	2m 14s	23.4s	general	175.7%	0.5%	585.3 MB	3.6 GB
220	64/ea5272	527284	qc_reads	GA54569	qc_reads (GA54569)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:03:31.610	2020-12-21 17:07:26.597	4m 10s	3m 42s	general	355.9%	3.5%	4.4 GB	21 GB
224	cf/9b3bfc	527288	qc_reads	GA56214	qc_reads (GA56214)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:03:46.645	2020-12-21 17:07:31.597	4m 15s	3m 32s	general	352.3%	3.3%	4.2 GB	20.9 GB
230	8f/18a132	527295	qc_reads	GA56558	qc_reads (GA56558)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:04:56.587	2020-12-21 17:07:31.608	4m	2m 19s	general	302.3%	0.9%	972.8 MB	20.9 GB
253	c9/822eb4	527309	fastq_status	-	fastq_status (19)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:06:46.613	2020-12-21 17:07:36.597	2m 35s	36.4s	general	165.8%	0.5%	606.2 MB	33.1 GB
242	54/ebb567	527311	count_31mers	GA56273	count_31mers (GA56273)	COMPLETED	0	-	/opt/bactopia/singularity/count_31mers-1.5.x.simg	4	4h	-	8 GB	1	2020-12-21 17:06:46.617	2020-12-21 17:07:36.605	2m 34s	44.1s	general	377.4%	5.6%	7 GB	7.3 GB
222	33/b2ab17	527286	qc_reads	GA54617	qc_reads (GA54617)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:03:46.639	2020-12-21 17:07:41.609	4m 25s	3m 51s	general	348.9%	3.7%	4.6 GB	21.1 GB
212	88/82b798	527273	qc_reads	GA52964	qc_reads (GA52964)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:02:56.590	2020-12-21 17:08:01.597	5m 9s	4m 56s	general	299.2%	4.6%	5.1 GB	20.9 GB
24	eb/4f9e96	527321	gather_fastqs	GA58697	gather_fastqs (GA58697)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:07:41.637	2020-12-21 17:08:01.613	2m 50s	42ms	general	75.4%	0.0%	0	0
234	85/01d394	527301	qc_reads	GA56638	qc_reads (GA56638)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:05:16.598	2020-12-21 17:08:21.597	4m 35s	2m 33s	general	375.4%	1.9%	2.4 GB	21 GB
257	41/fadb43	527326	estimate_genome_size	GA58008	estimate_genome_size (GA58008)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:08:01.631	2020-12-21 17:08:21.621	2m 39s	62ms	general	84.2%	0.0%	0	0
254	b4/30f391	527322	fastq_status	-	fastq_status (20)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:07:41.639	2020-12-21 17:08:26.598	3m 15s	19.5s	general	166.5%	0.5%	589.4 MB	35.5 GB
25	d6/f46da5	527323	gather_fastqs	GA58830	gather_fastqs (GA58830)	COMPLETED	0	-	/opt/bactopia/singularity/gather_fastqs-1.5.x.simg	4	4h	-	1 GB	1	2020-12-21 17:08:01.625	2020-12-21 17:08:26.605	3m 10s	56ms	general	76.7%	0.0%	0	0
256	b6/f96ec6	527325	estimate_genome_size	GA56981	estimate_genome_size (GA56981)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:08:01.629	2020-12-21 17:08:26.612	2m 44s	62ms	general	95.6%	0.0%	0	0
241	84/202b26	527307	qc_reads	GA56663	qc_reads (GA56663)	COMPLETED	0	-	/opt/bactopia/singularity/qc_reads-1.5.x.simg	4	4h	-	3 GB	1	2020-12-21 17:06:21.611	2020-12-21 17:08:31.598	3m 44s	1m 50s	general	334.0%	1.0%	1.1 GB	20.9 GB
243	13/3ddc62	527312	minmer_sketch	GA56273	minmer_sketch (GA56273)	COMPLETED	0	-	/opt/bactopia/singularity/minmers-1.5.x.simg	1	4h	-	1 GB	1	2020-12-21 17:06:51.621	2020-12-21 17:08:41.612	3m 39s	1m 45s	general	106.3%	0.0%	27.2 MB	3.1 GB
